case_id,timestamp,player,team,action_type,dest_x,dest_y,xThreat_delta,tick
match_20250609_103402,2025-06-09 10:34:02.868630,6,0,DRIBBLE_FAILED,17.0,25.0,-0.15,1
match_20250609_103402,2025-06-09 10:34:02.934630,6,0,POSSESSION,17.0,25.0,0.0,2
match_20250609_103402,2025-06-09 10:34:02.934630,6,0,PASS,16.19,39.39,0.63,2
match_20250609_103402,2025-06-09 10:34:03.000630,6,0,POSSESSION,16.54,24.99,0.0,3
match_20250609_103402,2025-06-09 10:34:03.000630,6,0,PASS,15.23,39.07,0.63,3
match_20250609_103402,2025-06-09 10:34:03.066630,6,0,POSSESSION,15.67,24.99,0.0,4
match_20250609_103402,2025-06-09 10:34:03.066630,6,0,PASS,14.39,38.19,0.23,4
match_20250609_103402,2025-06-09 10:34:03.132630,6,0,POSSESSION,14.8,24.94,0.0,5
match_20250609_103402,2025-06-09 10:34:03.132630,6,0,PASS,13.92,38.95,0.18,5
match_20250609_103402,2025-06-09 10:34:03.198630,6,0,POSSESSION,13.98,25.05,0.0,6
match_20250609_103402,2025-06-09 10:34:03.198630,6,0,PASS,13.49,38.26,0.18,6
match_20250609_103402,2025-06-09 10:34:03.264630,6,0,POSSESSION,13.15,25.22,0.0,7
match_20250609_103402,2025-06-09 10:34:03.264630,6,0,PASS_FAILED,13.19,25.29,-0.1,7
match_20250609_103402,2025-06-09 10:34:03.330630,6,0,POSSESSION,13.19,25.29,0.0,8
match_20250609_103402,2025-06-09 10:34:03.330630,6,0,PASS,11.93,38.18,0.18,8
match_20250609_103402,2025-06-09 10:34:03.396630,6,0,POSSESSION,13.18,25.47,0.0,9
match_20250609_103402,2025-06-09 10:34:03.396630,6,0,DRIBBLE_FAILED,12.37,25.62,-0.15,9
match_20250609_103402,2025-06-09 10:34:03.462630,6,0,POSSESSION,12.37,25.62,0.0,10
match_20250609_103402,2025-06-09 10:34:03.462630,6,0,PASS_FAILED,11.56,25.73,-0.1,10
match_20250609_103402,2025-06-09 10:34:03.528630,6,0,POSSESSION,11.56,25.73,0.0,11
