case,sequence_id,length,duration,total_xThreat,avg_xThreat,events,outcome
match_20250606_170248,0,4,0.066,0.57,0.1425,"['POSSESSION', 'DRIBBLE', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,1,3,0.066,-0.15,-0.049999999999999996,"['POSSESSION', 'DRIBBLE_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,2,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,3,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,4,3,0.066,-0.2,-0.06666666666666667,"['POSSESSION', 'SHOT_MISSED', 'POSSESSION']",POSSESSION
match_20250606_170248,5,5,0.132,0.1,0.02,"['POSSESSION', 'DRIBBLE', 'DRIBBLE', 'SHOT', 'POSSESSION']",POSSESSION
match_20250606_170248,6,3,0.066,-0.15,-0.049999999999999996,"['POSSESSION', 'DRIBBLE_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,7,3,0.066,-0.2,-0.06666666666666667,"['POSSESSION', 'SHOT_MISSED', 'POSSESSION']",POSSESSION
match_20250606_170248,8,4,0.066,-0.1,-0.025,"['POSSESSION', 'DRIBBLE', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,9,3,0.066,-0.15,-0.049999999999999996,"['POSSESSION', 'DRIBBLE_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,10,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'SHOT', 'POSSESSION']",POSSESSION
match_20250606_170248,11,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'SHOT', 'POSSESSION']",POSSESSION
match_20250606_170248,12,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'SHOT', 'POSSESSION']",POSSESSION
match_20250606_170248,13,3,0.066,-0.2,-0.06666666666666667,"['POSSESSION', 'SHOT_MISSED', 'POSSESSION']",POSSESSION
match_20250606_170248,14,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'SHOT', 'POSSESSION']",POSSESSION
match_20250606_170248,15,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'SHOT', 'POSSESSION']",POSSESSION
match_20250606_170248,16,3,0.066,-0.2,-0.06666666666666667,"['POSSESSION', 'SHOT_MISSED', 'POSSESSION']",POSSESSION
match_20250606_170248,17,4,0.066,-0.15,-0.0375,"['POSSESSION', 'DRIBBLE', 'DRIBBLE_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,18,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'SHOT', 'POSSESSION']",POSSESSION
match_20250606_170248,19,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'SHOT', 'POSSESSION']",POSSESSION
match_20250606_170248,20,4,0.066,-0.2,-0.05,"['POSSESSION', 'DRIBBLE', 'SHOT_MISSED', 'POSSESSION']",POSSESSION
match_20250606_170248,21,3,0.066,-0.2,-0.06666666666666667,"['POSSESSION', 'SHOT_MISSED', 'POSSESSION']",POSSESSION
match_20250606_170248,22,3,0.066,-0.2,-0.06666666666666667,"['POSSESSION', 'SHOT_MISSED', 'POSSESSION']",POSSESSION
match_20250606_170248,23,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'SHOT', 'POSSESSION']",POSSESSION
match_20250606_170248,24,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'SHOT', 'POSSESSION']",POSSESSION
match_20250606_170248,25,3,0.066,1.0,0.3333333333333333,"['POSSESSION', 'GOAL', 'POSSESSION']",POSSESSION
match_20250606_170248,26,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,27,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,28,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,29,5,0.066,0.67,0.134,"['POSSESSION', 'PASS', 'DRIBBLE', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,30,2,0.066,0.0,0.0,"['POSSESSION', 'POSSESSION']",POSSESSION
match_20250606_170248,31,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,32,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,33,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,34,3,0.066,-0.05,-0.016666666666666666,"['POSSESSION', 'CLEAR', 'POSSESSION']",POSSESSION
match_20250606_170248,35,3,0.066,-0.15,-0.049999999999999996,"['POSSESSION', 'DRIBBLE_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,36,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,37,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,38,3,0.066,0.03,0.01,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,39,3,0.066,0.1,0.03333333333333333,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,40,3,0.066,0.08,0.02666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,41,3,0.066,0.15,0.049999999999999996,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,42,3,0.066,-0.15,-0.049999999999999996,"['POSSESSION', 'DRIBBLE_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,43,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,44,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,45,3,0.066,0.08,0.02666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,46,3,0.066,0.08,0.02666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,47,3,0.066,0.08,0.02666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
